"","X","WEIGHT","pid","orientation","CaseId","Trump","Biden","Exxon","Patagonia","Power","Sierra","Colgate","MSC","experiment","estimate","Estimate","political","candidate","organization","company","pol","sourceOrient"
"69",69,0.56110786,"Republican","Pro-environment",260,0,0,0,1,1,1,1,1,"POLADSTRUMP1S4",NA,NA,NA,NA,NA,NA,NA,NA
"70",70,0.73010198,"Republican","Pro-development",263,0,0,0,0,0,0,0,0,"POLADSTRUMP1S4",NA,NA,NA,NA,NA,NA,NA,NA
"71",71,0.69934969,NA,"Pro-environment",267,0,1,0,0,0,1,1,0,"POLADSTRUMP1S4",NA,NA,NA,NA,NA,NA,NA,NA
"72",72,0.39102296,"Democrat","Pro-environment",268,0,1,0,0,0,1,0,0,"POLADSTRUMP1S4",NA,NA,NA,NA,NA,NA,NA,NA
"73",73,1.10797896,"Democrat","Pro-environment",273,1,1,1,0,1,0,0,1,"POLADSTRUMP1S4",5,1,NA,NA,NA,NA,NA,NA
"74",74,0.84852251,NA,"Pro-environment",276,1,0,1,1,0,1,1,0,"POLADSTRUMP1S4",5,1,NA,NA,NA,NA,NA,NA
"75",75,0.47647311,"Republican","Pro-development",278,0,0,1,0,0,0,0,1,"POLADSTRUMP1S4",NA,NA,NA,NA,NA,NA,NA,NA
"76",76,0.59147331,"Republican","Pro-environment",279,0,0,1,1,0,1,0,1,"POLADSTRUMP1S4",NA,NA,NA,NA,NA,NA,NA,NA
"77",77,0.78926193,"Republican","Pro-development",283,1,1,1,0,1,1,1,0,"POLADSTRUMP1S4",4,1,NA,NA,NA,NA,NA,NA
"78",78,1.2466549,"Republican","Pro-environment",287,1,1,0,0,1,0,1,0,"POLADSTRUMP1S4",5,1,NA,NA,NA,NA,NA,NA
"79",79,0.43217968,"Republican","Pro-environment",290,1,0,1,1,1,0,1,1,"POLADSTRUMP1S4",4,1,NA,NA,NA,NA,NA,NA
"80",80,1.45654982,NA,"Pro-environment",295,1,1,0,0,0,1,0,1,"POLADSTRUMP1S4",5,1,NA,NA,NA,NA,NA,NA
"81",81,0.40026459,NA,"Pro-environment",303,1,1,0,0,0,0,0,0,"POLADSTRUMP1S4",5,1,NA,NA,NA,NA,NA,NA
"82",82,0.15999136,"Republican","Pro-development",304,0,1,0,1,0,1,1,0,"POLADSTRUMP1S4",NA,NA,NA,NA,NA,NA,NA,NA
"83",83,1.91076223,NA,"Pro-environment",305,1,0,0,1,0,1,0,0,"POLADSTRUMP1S4",4,1,NA,NA,NA,NA,NA,NA
"84",84,0.91965451,NA,"Pro-development",306,1,0,0,1,0,0,1,0,"POLADSTRUMP1S4",3,0,NA,NA,NA,NA,NA,NA
"85",85,0.69486484,NA,"Pro-environment",307,1,1,0,0,1,1,0,1,"POLADSTRUMP1S4",4,1,NA,NA,NA,NA,NA,NA
"86",86,1.04085063,NA,"Pro-environment",310,1,0,1,0,1,1,0,1,"POLADSTRUMP1S4",5,1,NA,NA,NA,NA,NA,NA
"87",87,0.67994879,"Republican","Pro-development",312,1,1,1,1,1,0,0,1,"POLADSTRUMP1S4",5,1,NA,NA,NA,NA,NA,NA
"88",88,0.28064438,"Democrat","Pro-environment",313,1,1,1,0,1,1,1,1,"POLADSTRUMP1S4",5,1,NA,NA,NA,NA,NA,NA
"89",89,0.70681812,NA,"Pro-environment",318,1,1,1,0,0,0,0,1,"POLADSTRUMP1S4",4,1,NA,NA,NA,NA,NA,NA
"90",90,1.59172014,NA,"Pro-environment",321,0,0,1,1,1,0,0,1,"POLADSTRUMP1S4",NA,NA,NA,NA,NA,NA,NA,NA
"91",91,0.98441934,"Republican","Pro-environment",323,1,1,1,1,0,0,0,0,"POLADSTRUMP1S4",4,1,NA,NA,NA,NA,NA,NA
"92",92,0.34085729,"Democrat","Pro-environment",324,0,1,0,1,1,1,0,0,"POLADSTRUMP1S4",NA,NA,NA,NA,NA,NA,NA,NA
"93",93,0.32979859,"Democrat","Pro-environment",327,0,1,1,1,1,1,1,0,"POLADSTRUMP1S4",NA,NA,NA,NA,NA,NA,NA,NA
"94",94,2.66963389,"Republican","Pro-development",328,0,0,0,0,0,0,1,1,"POLADSTRUMP1S4",NA,NA,NA,NA,NA,NA,NA,NA
"95",95,1.47265492,"Republican","Pro-environment",330,NA,0,1,1,1,0,0,1,"POLADSTRUMP1S4",NA,NA,NA,NA,NA,NA,NA,NA
"96",96,0.90821503,NA,"Pro-environment",331,0,1,0,0,0,0,0,0,"POLADSTRUMP1S4",NA,NA,NA,NA,NA,NA,NA,NA
